epoch,train_loss,val_loss
1,4.098415472691086e-06,1.1318152100869837e-06
2,5.806957210290576e-07,1.1316115701376362e-06
3,5.807009616557037e-07,1.1315220085350575e-06
4,5.807072030256976e-07,1.1316715257336797e-06
5,5.807224724955966e-07,1.1321283723830788e-06
6,5.807450069096974e-07,1.1315272400835852e-06
7,5.807404167662275e-07,1.1318018318107192e-06
8,5.807332081044897e-07,1.1315454138127734e-06
9,5.807135584751976e-07,1.13164645210162e-06
10,5.80746928067667e-07,1.1315290008084843e-06
11,5.807250449033804e-07,1.1317008182132326e-06
12,5.80742499254795e-07,1.1315219921925745e-06
13,5.807513831519217e-07,1.1319037492185657e-06
14,5.807572099576263e-07,1.1315557710389613e-06
15,5.807272149943879e-07,1.1320391479330283e-06
16,5.807395122827218e-07,1.1316895980328923e-06
17,5.807507198789763e-07,1.131528564890516e-06
18,5.807631152596047e-07,1.1316688036444588e-06
19,5.807240664486364e-07,1.1315406473144663e-06
20,5.807527218892298e-07,1.1316953997919655e-06
21,5.807324872214873e-07,1.1317173212788133e-06
22,5.807688893168604e-07,1.1315266958078497e-06
23,5.807116012291364e-07,1.131673792720278e-06
24,5.807255304845464e-07,1.13154345200428e-06
25,5.807277388513692e-07,1.1316576140174562e-06
